"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TMAX","TMIN","TOBS"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-05-19","66","43","47"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-05-20","68","33","52"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-05-21","55","42","43"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-05-22","66","38","55"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-05-23","67","40","57"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-05-24","64","36","54"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-05-25","66","36","49"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-05-26","71","35","58"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-05-27","75","47","61"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-05-28","78","43","66"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-05-29","77","44","64"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-05-30","73","43","59"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-05-31","80","44","67"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-06-01","83","49","63"
